Date,Survey.Country,event_type,event_label
2013-11-01,Afghanistan,Data Use Activity,Ministry of Health data review
2022-02-01,Afghanistan,Further Analysis,Urban-rural differentials in under-5 mortality
2016-01-01,Bangladesh,Further Analysis,Gender disparities in immunization coverage
2016-11-01,Bangladesh,MEL Training,DHS data analysis workshop
2019-09-01,Bangladesh,MEL Training,Geospatial data analysis training
2021-11-01,Bangladesh,Further Analysis,Contraceptive prevalence trends 2010-2020
2015-04-01,Cambodia,Data Use Activity,Survey data utilization workshop
2020-04-01,Cambodia,Further Analysis,Gender disparities in immunization coverage
2021-01-01,Cambodia,Dissemination,Regional policy dialogue
2020-07-01,Dominican Republic,Further Analysis,Adolescent fertility and educational attainment
2022-01-01,Dominican Republic,Further Analysis,Antenatal care utilization and maternal outcomes
2014-05-01,Egypt,MEL Training,Survey dissemination training
2014-10-01,Egypt,Further Analysis,Male involvement in family planning programs
2015-04-01,Egypt,MEL Training,DHS data analysis workshop
2019-09-01,Egypt,Further Analysis,Contraceptive prevalence trends 2010-2020
2021-09-01,Egypt,Further Analysis,Determinants of child stunting: evidence from DHS
2015-06-01,Ethiopia,DHS Publication,2015 DHS
2018-09-01,Ethiopia,DHS Publication,2018 DHS
2018-10-17,Ethiopia,Dissemination,Academic conference presentation
2020-07-01,Ethiopia,Further Analysis,Adolescent fertility and educational attainment
2021-11-01,Ethiopia,Further Analysis,Antenatal care utilization and maternal outcomes
2022-02-15,Ethiopia,Dissemination,National launch event
2022-02-28,Ethiopia,Data Use Activity,National stakeholder briefing
2022-03-01,Ethiopia,DHS Publication,2022 DHS
2022-03-15,Ethiopia,Dissemination,Regional policy dialogue
2014-12-01,Ghana,Further Analysis,Determinants of child stunting: evidence from DHS
2015-05-30,Ghana,MEL Training,Survey dissemination training
2015-06-01,Ghana,DHS Publication,2015 DHS
2015-08-11,Ghana,Data Use Activity,Data quality review workshop
2018-09-01,Ghana,DHS Publication,2018 DHS
2018-10-01,Ghana,MEL Training,Geospatial data analysis training
2018-11-24,Ghana,MEL Training,Survey dissemination training
2022-03-01,Ghana,DHS Publication,2022 DHS
