Date,Survey.Country,Downloads.Internal,Website,STATCompiler,Spatial.Data.Repository,Mobile.App,Downloads.External
2013-09-01,Kenya,688,278,147,83,51,421
2013-10-01,Kenya,0,420,179,92,72,0
2013-11-01,Kenya,643,377,176,84,67,250
2013-12-01,Kenya,1237,0,195,72,71,850
2014-01-01,Kenya,902,540,193,123,60,665
2014-02-01,Kenya,1000,503,0,127,81,777
2014-03-01,Kenya,0,588,260,103,114,0
2014-04-01,Kenya,857,601,261,105,57,748
2014-05-01,Kenya,1100,455,150,112,69,410
2014-06-01,Kenya,954,693,179,95,72,531
2014-07-01,Kenya,0,504,188,82,67,0
2014-08-01,Kenya,642,305,159,63,44,680
2014-09-01,Kenya,928,534,168,57,59,346
2014-10-01,Kenya,691,381,243,86,56,550
2014-11-01,Kenya,1074,522,229,73,49,658
2014-12-01,Kenya,900,576,212,131,69,439
2015-01-01,Kenya,1076,733,219,113,72,875
2015-02-01,Kenya,1245,652,278,141,91,657
2015-03-01,Kenya,1131,435,249,93,0,723
2015-04-01,Kenya,1568,748,251,120,0,1361
2015-05-01,Kenya,856,426,184,100,70,740
2015-06-01,Kenya,746,458,282,0,60,421
2015-07-01,Kenya,703,399,167,66,53,291
2015-08-01,Kenya,727,486,182,58,55,445
2015-09-01,Kenya,755,521,244,120,96,616
2015-10-01,Kenya,990,668,195,140,89,826
2015-11-01,Kenya,1146,0,237,152,80,995
2015-12-01,Kenya,1343,571,343,92,0,630
2016-01-01,Kenya,1103,689,241,128,67,976
2016-02-01,Kenya,1210,549,198,159,0,794
2016-03-01,Kenya,1279,886,248,113,101,839
2016-04-01,Kenya,1303,634,221,133,67,961
2016-05-01,Kenya,1168,341,233,0,84,1079
2016-06-01,Kenya,1175,523,195,115,79,538
2016-07-01,Kenya,625,0,175,0,63,501
2016-08-01,Kenya,760,448,142,85,48,268
2016-09-01,Kenya,587,404,216,84,58,258
2016-10-01,Kenya,757,548,177,88,53,655
2016-11-01,Kenya,970,0,206,114,67,599
2016-12-01,Kenya,1091,578,225,75,109,566
2017-01-01,Kenya,0,880,208,122,89,0
2017-02-01,Kenya,1267,395,242,113,83,551
2017-03-01,Kenya,1564,644,319,114,80,720
2017-04-01,Kenya,1091,746,262,85,102,496
2017-05-01,Kenya,978,548,227,115,60,650
2017-06-01,Kenya,802,679,206,84,73,477
2017-07-01,Kenya,940,443,221,96,53,655
2017-08-01,Kenya,819,475,159,97,58,383
2017-09-01,Kenya,519,461,167,94,61,246
2017-10-01,Kenya,1015,712,299,145,85,739
2017-11-01,Kenya,1196,723,191,138,0,638
2017-12-01,Kenya,1252,604,405,114,70,717
2018-01-01,Kenya,786,538,250,154,64,479
2018-02-01,Kenya,0,616,224,151,88,0
2018-03-01,Kenya,1241,687,0,168,82,1222
2018-04-01,Kenya,975,792,194,98,86,391
2018-05-01,Kenya,788,466,234,104,101,645
2018-06-01,Kenya,688,457,286,139,73,621
2018-07-01,Kenya,638,442,180,116,53,369
2018-08-01,Kenya,722,477,193,78,63,418
2018-09-01,Kenya,692,527,138,79,49,456
2018-10-01,Kenya,1084,388,239,125,71,723
2018-11-01,Kenya,934,591,191,93,73,460
2018-12-01,Kenya,1255,620,219,0,70,1019
2019-01-01,Kenya,1132,677,191,134,79,407
2019-02-01,Kenya,1008,773,361,159,75,533
2019-03-01,Kenya,1209,849,305,99,114,754
2019-04-01,Kenya,922,690,243,135,74,353
2019-05-01,Kenya,736,476,272,83,69,427
2019-06-01,Kenya,1020,0,0,118,76,548
2019-07-01,Kenya,886,370,248,123,62,500
2019-08-01,Kenya,1022,571,276,90,118,753
2019-09-01,Kenya,999,611,258,198,117,425
2019-10-01,Kenya,949,848,267,121,65,689
2019-11-01,Kenya,1130,730,250,159,114,968
2019-12-01,Kenya,1060,0,276,108,86,607
2020-01-01,Kenya,1378,733,272,141,80,1207
2020-02-01,Kenya,887,626,312,184,95,410
2020-03-01,Kenya,883,729,264,160,96,680
2020-04-01,Kenya,1217,0,272,92,105,998
2020-05-01,Kenya,0,647,181,161,98,0
2020-06-01,Kenya,811,571,0,119,66,730
2020-07-01,Kenya,894,556,213,108,65,386
2020-08-01,Kenya,846,694,177,87,62,549
2020-09-01,Kenya,1071,394,164,76,60,748
2020-10-01,Kenya,1025,318,147,85,88,723
2020-11-01,Kenya,1121,0,292,96,87,896
2020-12-01,Kenya,0,0,267,159,75,0
2021-01-01,Kenya,1275,613,354,150,100,610
2021-02-01,Kenya,1470,685,532,216,112,769
2021-03-01,Kenya,2027,1109,295,188,93,1012
2021-04-01,Kenya,1401,954,304,184,102,746
2021-05-01,Kenya,1242,816,236,166,98,1090
2021-06-01,Kenya,1196,625,0,97,0,500
2021-07-01,Kenya,1205,449,183,99,69,776
2021-08-01,Kenya,855,475,184,92,48,551
2021-09-01,Kenya,648,445,202,104,72,234
2021-10-01,Kenya,925,434,239,113,68,863
2021-11-01,Kenya,889,887,242,166,0,659
2021-12-01,Kenya,1380,623,271,0,80,602
2022-01-01,Kenya,1265,658,288,116,102,687
2022-02-01,Kenya,1269,1145,362,164,94,612
2022-03-01,Kenya,1312,1016,315,176,113,619
2022-04-01,Kenya,998,664,208,139,90,626
2022-05-01,Kenya,1013,750,222,127,76,417
2022-06-01,Kenya,1253,557,314,202,92,613
2022-07-01,Kenya,691,379,0,103,68,406
2022-08-01,Kenya,1142,442,201,116,64,472
2022-09-01,Kenya,685,480,276,133,68,314
2022-10-01,Kenya,917,706,223,0,94,525
2022-11-01,Kenya,0,592,255,159,72,0
2022-12-01,Kenya,1182,606,348,94,100,903
2023-01-01,Kenya,1095,716,471,139,92,493
2023-02-01,Kenya,0,688,0,151,121,0
2023-03-01,Kenya,985,756,280,0,107,428
2013-09-01,Nigeria,667,207,163,62,33,297
2013-10-01,Nigeria,752,268,154,61,0,554
2013-11-01,Nigeria,784,364,126,71,40,501
2013-12-01,Nigeria,936,475,207,54,59,683
2014-01-01,Nigeria,678,489,262,55,86,469
2014-02-01,Nigeria,895,479,245,133,58,448
2014-03-01,Nigeria,711,448,166,79,69,503
2014-04-01,Nigeria,911,488,171,81,49,646
2014-05-01,Nigeria,779,432,157,80,57,563
2014-06-01,Nigeria,718,385,0,0,61,249
2014-07-01,Nigeria,558,338,97,56,28,210
2014-08-01,Nigeria,581,317,147,77,43,425
2014-09-01,Nigeria,420,391,143,0,43,314
2014-10-01,Nigeria,643,473,165,0,48,592
2014-11-01,Nigeria,591,409,0,84,0,427
2014-12-01,Nigeria,941,503,0,86,50,761
2015-01-01,Nigeria,1103,422,202,90,64,777
2015-02-01,Nigeria,867,546,229,101,59,349
2015-03-01,Nigeria,811,519,0,76,59,489
2015-04-01,Nigeria,1077,461,268,71,55,624
2015-05-01,Nigeria,648,423,174,67,40,381
2015-06-01,Nigeria,697,421,171,107,40,667
2015-07-01,Nigeria,507,389,180,0,40,357
2015-08-01,Nigeria,427,393,89,64,30,189
2015-09-01,Nigeria,943,579,214,71,44,526
2015-10-01,Nigeria,0,501,158,101,76,0
2015-11-01,Nigeria,0,562,153,121,77,0
2015-12-01,Nigeria,909,474,222,83,60,471
2016-01-01,Nigeria,1363,385,190,91,49,1291
2016-02-01,Nigeria,1064,554,205,0,70,622
2016-03-01,Nigeria,973,481,210,108,71,601
2016-04-01,Nigeria,684,479,0,92,69,547
2016-05-01,Nigeria,620,510,217,89,54,391
2016-06-01,Nigeria,669,419,208,89,62,438
2016-07-01,Nigeria,750,344,194,60,38,555
2016-08-01,Nigeria,526,371,183,46,45,306
2016-09-01,Nigeria,674,447,118,64,56,504
2016-10-01,Nigeria,547,290,143,68,42,226
2016-11-01,Nigeria,933,443,158,52,46,355
2016-12-01,Nigeria,681,351,137,108,60,545
2017-01-01,Nigeria,780,576,229,100,53,426
2017-02-01,Nigeria,815,476,172,99,49,323
2017-03-01,Nigeria,940,647,247,118,57,742
2017-04-01,Nigeria,814,0,158,107,78,581
2017-05-01,Nigeria,586,508,202,79,85,333
2017-06-01,Nigeria,600,412,242,77,48,261
2017-07-01,Nigeria,656,389,186,53,43,366
2017-08-01,Nigeria,685,379,0,97,35,318
2017-09-01,Nigeria,1137,356,137,61,34,554
2017-10-01,Nigeria,867,546,203,84,45,570
2017-11-01,Nigeria,0,560,274,114,59,0
2017-12-01,Nigeria,1154,0,296,99,44,959
2018-01-01,Nigeria,698,711,211,98,76,404
2018-02-01,Nigeria,0,499,191,73,59,0
2018-03-01,Nigeria,913,550,228,122,86,490
2018-04-01,Nigeria,896,485,229,83,92,400
2018-05-01,Nigeria,808,406,228,107,53,612
2018-06-01,Nigeria,868,770,214,99,51,611
2018-07-01,Nigeria,572,402,168,63,32,375
2018-08-01,Nigeria,590,423,217,68,35,281
2018-09-01,Nigeria,573,455,166,58,46,327
2018-10-01,Nigeria,600,338,164,66,58,376
2018-11-01,Nigeria,716,430,151,68,74,441
2018-12-01,Nigeria,732,710,195,92,54,291
2019-01-01,Nigeria,981,465,214,73,0,635
2019-02-01,Nigeria,1043,439,223,108,0,629
2019-03-01,Nigeria,777,516,337,126,109,564
